Name                       Version                         Rev    Tracking         Publisher            Notes
audacious                  4.4.2                           212    latest/stable    sameersharma2006     -
bare                       1.0                             5      latest/stable    canonical**          base
bitwarden                  2025.3.0                        137    latest/stable    bitwarden**          -
blender                    4.4.0                           6012   latest/stable    blenderfoundation**  classic
cheese                     44.1                            69     latest/stable    ken-vandine*         -
copilot-desktop            0.3.0-2-g39acebb629             46     latest/stable    ken-vandine*         -
core                       16-2.61.4-20240607              17200  latest/stable    canonical**          core
core18                     20250123                        2855   latest/stable    canonical**          base
core20                     20241206                        2496   latest/stable    canonical**          base
core22                     20250315                        1908   latest/stable    canonical**          base
core24                     20241217                        739    latest/stable    canonical**          base
cups                       2.4.12-1                        1085   latest/stable    openprinting**       -
desktop-security-center    0+git.f7ad73a                   59     latest/stable    canonical**          -
drawio                     26.2.2                          244    latest/stable    jgraph**             -
ffmpeg-2404                7.1.1                           59     latest/stable    snapcrafters*        -
firefox                    137.0.1-1                       6019   latest/stable    mozilla**            -
firmware-updater           0+git.22198be                   167    latest/stable    canonical**          -
gemini-desktop             0.2.0-2-gd38883420b             21     latest/stable    ken-vandine*         -
gimp                       3.0.2                           515    latest/stable    snapcrafters*        -
gnome-3-28-1804            3.28.0-19-g98f9e67.98f9e67      198    latest/stable    canonical**          -
gnome-3-38-2004            0+git.efb213a                   143    latest/stable    canonical**          -
gnome-42-2204              0+git.38ea591                   202    latest/stable/…  canonical**          -
gnome-46-2404              0+git.d9f8bf6-sdk0+git.c8a281c  90     latest/stable    canonical**          -
gtk-common-themes          0.1-81-g442e511                 1535   latest/stable    canonical**          -
gtk2-common-themes         0.1                             13     latest/stable    canonical**          -
icon-theme-papirus         20250201                        160    latest/stable    sameersharma2006     -
inkscape                   1.4.1-rc-06eac75fbf-2025-03-29  10758  latest/stable    inkscape**           -
mesa-2404                  24.2.8                          495    latest/stable    canonical**          -
mpv                        0.38.0                          203    latest/stable    sameersharma2006     -
notion-desktop             1.1.2                           3      latest/stable    xanmoy               -
onefetch                   2.24.0                          3749   latest/stable    o2sh                 -
onlyoffice-desktopeditors  8.3.2                           407    latest/stable    onlyoffice**         -
prompting-client           0+git.d542a5d                   104    latest/stable    canonical**          -
qt515-core20               5.15.4                          43     latest/stable    keshavnrj*           -
shortwave                  5.0.0                           94     latest/stable    alexmurray*          -
snap-store                 0+git.90575829                  1270   2/stable/…       canonical**          -
snapd                      2.67.1                          23771  latest/stable    canonical**          snapd
snapd-desktop-integration  0.9                             253    latest/stable    canonical**          -
spotify                    1.2.59.514.g834e17d4            86     latest/stable    spotify**            -
teams-for-linux            2.0.8                           793    latest/stable    ismaelmartinez       -
todoist                    9.13.1                          1336   latest/stable    doist**              -
vlc                        3.0.20-1-g2617de71b6            3777   latest/stable    videolan**           -
xmind                      24.10.1101                      32     latest/stable    xmindltd             -
